fast,slow,atr_mult,ema_200,rsi_max,Return %,Sharpe,Max DD %,Win Rate %,Trades
12,13,1.5,False,65.0,9.48979606628418,3.8495071089849757,3.2535813002120566,43.28358208955223,67
3,21,1.5,True,65.0,10.850046920776366,3.829871132905419,3.7321077760053347,39.473684210526315,76
10,21,1.5,True,100.0,9.285409927368164,3.810328751070289,2.6489848839256163,43.75,48
8,30,1.5,False,60.0,7.142725372314453,3.809757484507712,2.458800819215233,50.0,40
5,26,1.5,False,60.0,9.544688796997072,3.782079472237357,3.5412222719907245,42.857142857142854,63
12,13,1.5,True,100.0,9.35234146118164,3.774552859542506,2.6880564233709983,43.63636363636363,55
3,21,2.0,True,60.0,12.002954864501953,3.7725208401060364,3.76086530794999,39.189189189189186,74
8,30,2.5,True,100.0,10.64958381652832,3.741467677850391,3.901461341949683,56.75675675675676,37
10,21,1.5,False,60.0,9.207895278930664,3.7398214167510795,2.8758009213648448,40.0,55
3,26,1.5,True,100.0,9.283789443969727,3.719962397000407,3.2597180234517986,39.726027397260275,73
3,21,2.5,True,60.0,12.069767761230468,3.7111943747889113,3.7805966359486,35.13513513513514,74
3,13,1.5,True,60.0,10.492459487915038,3.68064348541884,3.4550930040719323,39.02439024390244,82
3,13,1.5,True,65.0,10.555294418334961,3.65987029893562,3.8859265757439956,40.816326530612244,98
12,26,1.5,False,60.0,6.971055984497071,3.6570822991591605,2.531251062223592,50.0,36
5,13,1.5,True,65.0,10.290140914916993,3.65612042217525,3.2029618164550264,42.465753424657535,73
10,13,1.5,True,100.0,9.17159652709961,3.6469025791562304,2.778261932320749,43.07692307692308,65
12,26,1.5,True,100.0,7.609590911865234,3.6425536970147,2.5752783919827587,50.0,36
5,13,1.5,False,60.0,10.468641662597657,3.5432047908240314,3.7134498082992415,38.46153846153847,91
3,30,1.5,False,100.0,10.069754028320313,3.538932030980052,3.6217653964058774,40.65934065934066,91
3,21,1.5,True,60.0,9.890550231933593,3.534350038552792,3.4753633524953127,39.189189189189186,74
8,30,1.5,False,65.0,7.0193836212158205,3.503367619453334,2.2587671735372896,50.0,44
12,30,1.5,True,65.0,5.5122528076171875,3.4898384577931347,1.6630386209169643,48.275862068965516,29
10,26,1.5,True,100.0,7.107312774658203,3.4586202534471306,2.6043318859441342,50.0,38
12,26,2.5,True,100.0,9.7576416015625,3.442528824421461,3.95559798155571,55.55555555555556,36
10,30,1.5,False,65.0,6.767501831054687,3.4364108801170694,2.1867816045841573,54.761904761904766,42
5,30,1.5,True,65.0,8.129176330566407,3.43386749113169,2.917268842210881,43.90243902439025,41
5,13,2.5,True,65.0,11.365476608276367,3.4092058928841964,3.17788114143515,41.0958904109589,73
10,21,2.5,True,100.0,10.664101028442383,3.397459494030895,3.9166700315076324,45.83333333333333,48
3,26,2.0,True,65.0,9.804634857177733,3.3912118322546307,3.6360663177970696,36.76470588235294,68
10,30,2.5,True,100.0,9.584109497070314,3.3892724677298034,3.5865302326412016,57.14285714285714,35
8,26,1.5,True,65.0,7.900896835327148,3.3762824074982998,2.5093005120108027,45.94594594594595,37
10,26,1.5,False,60.0,6.546490478515625,3.3523772646707948,2.6857287752426204,50.0,38
5,26,1.5,True,65.0,7.854789352416993,3.351793797563511,2.9578661046843844,42.5531914893617,47
5,8,2.0,True,65.0,10.504515838623046,3.3196403581204286,3.79978418926211,38.144329896907216,97
5,8,2.5,True,65.0,10.496058654785156,3.3182175590172314,3.823719220811836,38.144329896907216,97
8,13,2.0,True,65.0,10.977785110473633,3.3141808725292314,3.627736741293893,41.269841269841265,63
8,21,1.5,True,65.0,7.443789672851563,3.2436462118057694,2.948098130273057,43.47826086956522,46
3,26,1.5,False,65.0,8.382596588134765,3.2431792394963073,3.1347801249945983,37.89473684210527,95
