timeframe,fast_ema,slow_ema,atr_mult,ema_200,rsi_max,Return %,Sharpe,Max DD %,Win Rate %,Trades,Avg Duration (min)
15m,3,21,3.5,True,70,-3.241291471987699,-0.2222912385675392,23.94372176733497,26.666666666666668,90,894.0
15m,3,21,3.5,True,100,-2.099989174047107,-0.110704382466673,22.823128750902942,28.26086956521739,92,894.1304347826087
15m,3,21,3.5,False,70,-7.839536829791199,-0.4574907252760086,28.656534527996957,28.57142857142857,154,801.525974025974
15m,3,21,3.5,False,100,-6.698234531850608,-0.3756521345188888,27.56142243886283,29.48717948717949,156,802.7884615384615
15m,3,21,4.5,True,70,-2.757607008910816,-0.15546831346260082,25.01850957914255,27.77777777777778,90,933.8333333333334
15m,3,21,4.5,True,100,-1.110563394328608,0.001007941914593792,24.23203552603732,29.347826086956523,92,947.7717391304348
15m,3,21,4.5,False,70,-1.8390091303314875,0.004645223730041564,23.594070089821034,31.16883116883117,154,873.5064935064935
15m,3,21,4.5,False,100,-0.19196551574925705,0.1241538621006137,22.82828337934444,32.05128205128205,156,882.5
15m,3,21,,True,70,-2.398885999999368,-0.11965794889250014,25.6482740684775,27.77777777777778,90,938.8333333333334
15m,3,21,,True,100,-1.0534569999993437,0.007456722669280404,24.913053596111986,29.347826086956523,92,953.3152173913044
15m,3,21,,False,70,-1.5569387499988465,0.027310054469987653,24.726331168048272,31.16883116883117,154,876.9155844155844
15m,3,21,,False,100,-0.21150974999884511,0.12401961610002801,24.010449868741762,32.05128205128205,156,886.25
15m,3,30,2.5,True,70,6.7945319907784105,0.9977811107777449,8.939908137636124,31.25,64,822.65625
15m,3,30,2.5,True,100,7.233465352258986,1.0551928838759275,8.939908137636124,32.30769230769231,65,813.0
15m,3,30,2.5,False,70,-4.144272048235791,-0.34995008817116596,18.69498413301545,32.142857142857146,112,697.3660714285714
15m,3,30,2.5,False,100,-3.7053386867552147,-0.3016488472739359,18.69498413301545,32.743362831858406,113,692.9203539823009
15m,3,30,3.5,True,70,6.070353998921268,0.7736896537100546,11.635706200714294,29.6875,64,1170.703125
15m,3,30,3.5,True,100,6.089133568846023,0.7757609017434821,11.635706200714294,30.76923076923077,65,1155.923076923077
15m,3,30,3.5,False,70,2.566498354071541,0.33586346399444594,20.489086041003688,29.464285714285715,112,1014.5089285714286
15m,3,30,3.5,False,100,2.5852779239962955,0.337451147145142,20.489086041003688,30.08849557522124,113,1007.3893805309734
15m,3,30,4.5,True,70,6.315181908885529,0.7612772593813707,11.664825742153868,31.25,64,1341.5625
15m,3,30,4.5,True,100,7.173455304311278,0.8475212307214604,11.664825742153868,32.30769230769231,65,1344.2307692307693
15m,3,30,4.5,False,70,0.3283775014952994,0.15541256686305088,18.361023741228667,31.25,112,1169.330357142857
15m,3,30,4.5,False,100,1.1866508969210372,0.22168148758758524,18.361023741228667,31.858407079646017,113,1172.3893805309735
15m,3,30,,True,70,9.521875750000413,1.0401624039803534,11.929683776709595,31.25,64,1453.125
15m,3,30,,True,100,9.562221750000413,1.0399623649766783,11.929683776709595,32.30769230769231,65,1455.0
15m,3,30,,False,70,5.661427000000685,0.5515731431702763,17.23616292595919,30.357142857142854,112,1257.5892857142858
15m,3,30,,False,100,5.701773000000685,0.5537207651787354,17.23616292595919,30.973451327433626,113,1260.3982300884957
15m,5,13,2.5,True,70,11.813738771444514,1.4148119335882607,9.341520338617944,31.25,80,792.75
15m,5,13,2.5,True,100,10.57641860693566,1.2566613873829542,11.015274180195169,31.32530120481928,83,768.2530120481928
15m,5,13,2.5,False,70,2.0263532429075326,0.2899023077410893,17.786179375521876,33.793103448275865,145,696.5172413793103
15m,5,13,2.5,False,100,0.7890330783986315,0.18581606308812845,19.415262671384884,33.78378378378378,148,684.7297297297297
15m,5,13,3.5,True,70,15.249523688512816,1.625091355509969,13.43720028749682,31.25,80,931.5
15m,5,13,3.5,True,100,15.011222948690465,1.59051300827297,13.692154387133668,32.53012048192771,83,920.4216867469879
15m,5,13,3.5,False,70,12.436757296760424,1.0230103829536605,20.72009637155473,31.724137931034484,145,853.7586206896551
15m,5,13,3.5,False,100,12.198456556938073,1.0018912958086559,21.44863850184352,32.432432432432435,148,849.1216216216217
15m,5,13,4.5,True,70,15.638081506113258,1.5788107441610646,14.34467415576346,32.5,80,973.875
15m,5,13,4.5,True,100,15.804355995843752,1.5700847311295472,15.030949810732006,33.734939759036145,83,977.1686746987951
15m,5,13,4.5,False,70,15.971643634014345,1.2577952507736798,18.98680239289675,34.48275862068966,145,911.4827586206897
15m,5,13,4.5,False,100,16.137918123744885,1.2559129131827087,20.405650880352702,35.13513513513514,148,914.5945945945946
15m,5,13,,True,70,17.210800250000556,1.7216444553759886,14.414024836751608,32.5,80,978.75
15m,5,13,,True,100,16.996973250000565,1.6736212290643344,15.229116316151819,33.734939759036145,83,982.5903614457832
15m,5,13,,False,70,17.895225500001015,1.3864901184148006,18.96848772863794,34.48275862068966,145,914.6896551724138
15m,5,13,,False,100,17.681398500001023,1.3560145608421732,20.397193265937663,35.13513513513514,148,918.1418918918919
15m,5,21,2.5,True,70,4.683317021645621,0.7052900617180248,11.522127421832597,34.92063492063492,63,880.7142857142857
15m,5,21,2.5,True,100,3.600299819328143,0.5519406819346271,13.03802645605007,34.84848484848485,66,845.4545454545455
15m,5,21,2.5,False,70,-7.869609356415504,-0.6941494791050995,19.756426572583766,34.862385321100916,109,759.7706422018349
15m,5,21,2.5,False,100,-8.952626558732959,-0.7893508917569242,21.228032696514717,34.82142857142857,112,742.2321428571429
15m,5,21,3.5,True,70,2.3386921682194273,0.3465772706512364,16.508069412859278,31.746031746031743,63,1184.047619047619
15m,5,21,3.5,True,100,1.9380287712290056,0.3016668447253914,16.922623936252435,33.33333333333333,66,1158.409090909091
15m,5,21,3.5,False,70,1.3234066589775921,0.23297287218305093,24.464385820298208,32.11009174311927,109,1078.6238532110092
